,MCF7,HEPG2,HT29,A375,PC3,YAPC,A549,HCC515
MCUB,2.9011082430145123,0.632268215499513,1.0214797274104517,3.584962500721156,2.9068905956085187,3.270528942380718,3.326249700837456,3.2448870591235344
HOXA11,0.2265085298086797,0.0426443374084937,4.983677694698066,0.6690267655096305,3.5248159283575062,0.879705766282288,0.7484612330040357,1.3950627995175775
POLR2J,7.532316959332764,5.992541859109112,6.615004241635032,6.490730563589642,6.912410353808268,6.566662962962612,6.110405006739278,6.784242222057781
DHX33,3.95884267524324,4.128458384146928,3.734438666137167,3.6926503700355298,3.0053999877425897,3.190614860209497,4.3348542693316325,3.3757345385831563
MEOX1,0.0285691521967709,0.0285691521967709,0.0565835283663675,0.0,0.070389327891398,1.989139007368233,0.0,0.0
THSD7A,0.0,0.01435529297707,0.0,0.3448284969974412,0.3219280948873623,0.3334237337251918,2.403267722339301,0.6780719051126377
LIG3,3.673556423990145,3.740927560318628,4.812498225333564,4.016139702655253,2.9486008474933563,3.7355221772965375,4.565597175854225,3.320484678017693
RPAP3,4.397118409042582,3.602884408718418,4.471187460386986,5.342696959981934,4.365272599764531,5.104755986962257,5.940871478189196,4.509695841933388
ACSM3,0.5058909297299572,6.242411963098236,4.5963388642052,2.1795110502715103,1.3276873641760472,3.4262647547020983,2.488000770834069,2.558267634055736
REXO5,3.493134922305505,2.5385381636298043,2.780310099043376,3.6264391366973143,1.622930350920177,2.885574364371426,2.049630767724601,2.4594316186372973
CIAPIN1,4.92837032301897,5.667040559022987,5.224194663970433,5.617651119427331,4.705425039042726,5.0721058004804185,6.331275267146615,6.074890720126339
SPPL2B,4.883132015657282,4.0798047546352585,5.819157223674967,2.837943241891028,3.711494906650088,4.344828496997442,3.0426443374084937,4.3826672527450405
FAM214B,2.73768676140986,1.4854268271702415,3.3233700690612684,3.942983598187102,2.817623257511431,3.795974694206668,2.4905701304462013,3.187451054027326
COPZ2,2.4195388915137843,1.0565835283663676,0.6415460290875237,4.5867647433551415,1.7004397181410922,2.485426827170241,4.000901402741532,1.4168397419128294
PRKAR2B,2.5335633482145115,0.0426443374084937,0.01435529297707,2.918386234446348,0.2986583155645152,1.5008020530571575,1.6915341649192002,1.584962500721156
MSL3,2.8619553641448694,2.636914580355878,3.3276873641760467,3.8409667044874216,4.160274831408593,4.191404728852763,4.818134760810847,3.646162657157894
CREBBP,4.0259146987507926,3.558267634055736,4.062639828286463,2.879705766282288,2.553360503335328,4.460087240116833,3.0942360698457656,2.925999418556223
TSPOAP1,0.070389327891398,0.01435529297707,0.7907720378619999,0.0,1.0285691521967708,2.7506065048355923,0.01435529297707,0.0565835283663675
MPO,0.0,0.01435529297707,0.0426443374084937,0.0,0.0,1.5008020530571575,0.0,0.1243281350022017
PON1,0.0,0.6415460290875237,0.6599245584023783,0.0,0.0565835283663675,0.2387868595871165,1.0496307677246008,0.1890338243900171
GCFC2,3.0125686735030555,3.8308637567517576,3.0652276227756183,4.498250867527825,3.305970520984386,2.7048719644563533,4.33699741660501,3.769771739249448
WDR54,5.724104519866844,3.1795110502715103,5.1675185037352165,5.709014864903272,4.543495883425772,4.967168607532628,5.395062799517578,4.424922088210688
CROT,3.795974694206668,2.7026575433909112,2.8875252707415875,2.780310099043376,3.3895668117627262,4.0959244199985365,3.4581194811745064,3.4046306842176115
ABCB4,0.2868811477881615,2.8052924556007115,0.2509615735332188,3.0303360783709588,0.0565835283663675,0.0976107966264223,0.0,0.0976107966264223
KMT2E,4.566206293465505,3.658782734012828,4.699329525673156,4.279471295644468,3.1984941536390834,4.529820946528695,3.745237332129749,4.0652276227756206
RHBDD2,6.194953795933835,4.639810977716776,4.62993940943954,5.3269687115878925,4.944858445807539,6.379031732028536,5.518220380599588,5.713420884868084
SOX8,0.137503523749935,0.1243281350022017,0.0840642647884745,2.063502942306158,0.1634987322828795,0.1634987322828795,0.0840642647884745,0.01435529297707
IBTK,4.473786911614368,4.120186027531863,3.91456452349394,4.311067102255596,3.418189947945766,4.787641414483328,5.191404728852763,4.1842802944193815
ZNF195,3.463360885816658,3.6507645591169022,5.389222616355895,3.71259578044703,4.234961094839504,4.8534967037023256,4.46401472450489,3.6380738371807184
MYCBP2,3.643856189774725,4.211790976252541,4.94345253855882,3.78135971352466,4.392317422778762,4.54101915313356,4.364572432295857,4.143230134776894
FBXL3,3.058316495590823,3.1292830169449664,4.116863757690899,4.248686626873829,3.734438666137167,4.345538310070007,3.865918814552213,3.5310694927259543
ITGAL,0.3334237337251918,1.4276061727818994,0.6040713236688608,0.0,0.2016338611696504,0.4750848829487829,0.2509615735332188,0.1110313123887439
PDK2,3.979110755015786,4.5033487351675054,4.3045110418099535,3.3476656563009706,4.1906148602094975,4.825785627464791,3.368768349090334,3.72137265947682
ITGA3,5.49281457256712,0.9560566524124028,5.781884234541487,7.207990433232963,8.382580799109606,7.919995487308005,7.121637118290915,7.965957397680419
ZFX,2.344828496997441,3.2156785966079284,3.305970520984386,2.84197311892718,2.823749360308273,3.2675357980687347,3.558267634055736,3.2357270598380583
LAMP2,7.125671763392588,6.0103322832848205,4.951867504326903,5.496334513417112,6.119356177039674,6.282625134191674,6.155425431747197,5.035623909730722
ITGA2B,1.0143552929770698,0.2750070474998698,0.01435529297707,0.0426443374084937,1.811471030529836,0.5160151470036647,1.0772429989324606,2.127633279725874
ASB4,0.0,0.9107326619029126,0.01435529297707,0.01435529297707,0.0,0.4329594072761063,0.2630344058337938,0.1505596765753814
GDE1,5.142821844115928,4.894817763307944,5.794155897876407,4.854494418154875,5.313608657030487,6.958610712055847,5.985728110419125,4.84197311892718
REX1BD,6.059182199211693,3.738767836800192,5.0798047546352585,4.611762560064872,4.361768359419154,5.242602505928981,3.4208865749755315,3.864928972289788
CRLF1,4.270528942380718,7.753016128735836,1.6322682154995132,6.098874286744451,2.3673710656485296,3.955126781261366,1.967168607532628,1.91456452349394
OSBPL7,4.488000770834069,1.831877241191673,3.602884408718418,1.8519988371124465,3.077242998932461,3.956985924612576,1.9373443921502325,2.5185351389821804
TMEM98,0.0285691521967709,6.968666793195207,0.4005379295837289,4.834913429701039,5.558573776240628,5.090430042321621,6.024807233400573,3.468583317006828
YBX2,5.075104722209487,0.5849625007211562,3.0,0.1634987322828795,0.2509615735332188,1.0703893278913978,0.6507645591169022,0.5058909297299572
KRT33A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP3K14,1.803227036434928,1.4854268271702415,2.266036893995317,2.2898344651775093,3.2750070474998703,3.8972404255748,5.520422248526447,3.111031312388744
